item_id,name,category,quality_tier,quality_raw,upgrade_level,price,price_basis,local_confidence,staldata_fair_price,staldata_fair_price_status,staldata_fair_price_source,best_ask,market_ask_p20,active_lots,sales_count,sales_7d,sample_count,liquidity_score,risk_score,risk_level,confidence_score,confidence_level,segment_key
04yr,Виток,artefact/biochemical,uncommon,1,3,300000,active_ask_only,very_low,,unavailable,,300000,300000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:uncommon:1:+3
04yr,Виток,artefact/biochemical,uncommon,1,4,350000,active_ask_only,very_low,,unavailable,,350000,350000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:uncommon:1:+4
04yr,Виток,artefact/biochemical,uncommon,1,5,350000,recent_30d,high,350000,ok,raw_30d,,,0,17,4,17,8.0,67.44,medium,100.0,high,RU:04yr:artifact:uncommon:1:+5
04yr,Виток,artefact/biochemical,uncommon,1,6,200000,older_history,medium,200000,low_data,history_3h,390000,390000,1,5,1,5,2.0,76.27,high,50.0,medium,RU:04yr:artifact:uncommon:1:+6
04yr,Виток,artefact/biochemical,uncommon,1,7,388888,low_data_history,low,388888,low_data,history_3h,,,0,3,0,3,0.0,47.84,medium,30.0,low,RU:04yr:artifact:uncommon:1:+7
04yr,Виток,artefact/biochemical,uncommon,1,8,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:uncommon:1:+8
04yr,Виток,artefact/biochemical,uncommon,1,9,750000,low_data_history,low,750000,low_data,history_3h,500000,500000,1,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:uncommon:1:+9
04yr,Виток,artefact/biochemical,uncommon,1,10,700000,recent_30d,high,700000,ok,raw_30d,,,0,10,2,10,4.0,49.65,medium,100.0,high,RU:04yr:artifact:uncommon:1:+10
04yr,Виток,artefact/biochemical,uncommon,1,11,780000,low_data_history,low,780000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:uncommon:1:+11
04yr,Виток,artefact/biochemical,uncommon,1,12,900000,low_data_history,low,900000,low_data,history_3h,,,0,2,0,2,0.0,35.0,medium,20.0,low,RU:04yr:artifact:uncommon:1:+12
04yr,Виток,artefact/biochemical,uncommon,1,13,888888,low_data_history,low,888888,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:uncommon:1:+13
04yr,Виток,artefact/biochemical,uncommon,1,14,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:uncommon:1:+14
04yr,Виток,artefact/biochemical,uncommon,1,15,1190000,recent_7d,highest,1190000,ok,raw_7d,999999,999999,1,46,7,46,14.0,46.81,medium,70.0,medium,RU:04yr:artifact:uncommon:1:+15
04yr,Виток,artefact/biochemical,special,2,0,560000,recent_7d,highest,560000,ok,raw_7d,699000,700000,21,271,38,271,76.0,48.39,medium,100.0,high,RU:04yr:artifact:special:2:+0
04yr,Виток,artefact/biochemical,special,2,1,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:special:2:+1
04yr,Виток,artefact/biochemical,special,2,2,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:special:2:+2
04yr,Виток,artefact/biochemical,special,2,3,1450000,low_data_history,low,1450000,low_data,history_3h,,,0,2,0,2,0.0,45.76,medium,20.0,low,RU:04yr:artifact:special:2:+3
04yr,Виток,artefact/biochemical,special,2,4,2100000,active_ask_only,very_low,,unavailable,,2100000,2100000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:special:2:+4
04yr,Виток,artefact/biochemical,special,2,5,850000,recent_30d,high,850000,ok,raw_30d,980000,980000,6,11,3,11,6.0,95.07,high,100.0,high,RU:04yr:artifact:special:2:+5
04yr,Виток,artefact/biochemical,special,2,6,1099999,recent_30d,high,1099999,ok,raw_30d,1100000,1100000,2,28,4,28,8.0,81.3,high,100.0,high,RU:04yr:artifact:special:2:+6
04yr,Виток,artefact/biochemical,special,2,7,1199999,low_data_history,low,1199999,low_data,history_3h,,,0,2,1,2,2.0,70.84,high,20.0,low,RU:04yr:artifact:special:2:+7
04yr,Виток,artefact/biochemical,special,2,8,1600000,low_data_history,low,1600000,low_data,history_3h,,,0,2,0,2,0.0,53.67,medium,20.0,low,RU:04yr:artifact:special:2:+8
04yr,Виток,artefact/biochemical,special,2,9,2000000,older_history,medium,2000000,low_data,history_3h,,,0,8,2,8,4.0,52.33,medium,80.0,high,RU:04yr:artifact:special:2:+9
04yr,Виток,artefact/biochemical,special,2,10,2049999,recent_30d,high,2049999,ok,raw_30d,1700000,1726400,4,18,1,18,2.0,63.5,medium,100.0,high,RU:04yr:artifact:special:2:+10
04yr,Виток,artefact/biochemical,special,2,11,1800000,older_history,medium,1800000,low_data,history_3h,2048888,2048888,1,7,2,7,4.0,63.98,medium,70.0,medium,RU:04yr:artifact:special:2:+11
04yr,Виток,artefact/biochemical,special,2,12,2100000,low_data_history,low,2100000,low_data,history_3h,,,0,2,1,2,2.0,43.01,medium,20.0,low,RU:04yr:artifact:special:2:+12
04yr,Виток,artefact/biochemical,special,2,13,3150000,low_data_history,low,3150000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:special:2:+13
04yr,Виток,artefact/biochemical,special,2,14,2000001,low_data_history,low,2000001,low_data,history_3h,2888880,2888880,1,3,2,3,4.0,48.22,medium,30.0,low,RU:04yr:artifact:special:2:+14
04yr,Виток,artefact/biochemical,special,2,15,2250000,recent_7d,highest,2250000,ok,raw_7d,2220000,2272000,9,142,33,142,66.0,46.14,medium,100.0,high,RU:04yr:artifact:special:2:+15
04yr,Виток,artefact/biochemical,rare,3,0,3799000,recent_7d,highest,3799000,ok,raw_7d,4200000,4200000,1,46,15,46,30.0,54.24,medium,100.0,high,RU:04yr:artifact:rare:3:+0
04yr,Виток,artefact/biochemical,rare,3,4,6600000,low_data_history,low,6600000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:rare:3:+4
04yr,Виток,artefact/biochemical,rare,3,5,4200000,low_data_history,low,4200000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:04yr:artifact:rare:3:+5
04yr,Виток,artefact/biochemical,rare,3,7,16888888,low_data_history,low,16888888,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:rare:3:+7
04yr,Виток,artefact/biochemical,rare,3,8,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:rare:3:+8
04yr,Виток,artefact/biochemical,rare,3,9,,unavailable,none,,unavailable,,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:rare:3:+9
04yr,Виток,artefact/biochemical,rare,3,10,6500000,low_data_history,low,6500000,low_data,history_3h,6888889,6888889,1,4,0,4,0.0,43.25,medium,40.0,low,RU:04yr:artifact:rare:3:+10
04yr,Виток,artefact/biochemical,rare,3,11,15999999,active_ask_only,very_low,,unavailable,,15999999,15999999,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:rare:3:+11
04yr,Виток,artefact/biochemical,rare,3,12,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:rare:3:+12
04yr,Виток,artefact/biochemical,rare,3,13,20000000,active_ask_only,very_low,,unavailable,,20000000,20000000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:rare:3:+13
04yr,Виток,artefact/biochemical,rare,3,14,7777777,low_data_history,low,7777777,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:rare:3:+14
04yr,Виток,artefact/biochemical,rare,3,15,5900000,recent_7d,highest,5900000,ok,raw_7d,6699999,7099999,3,93,17,93,34.0,51.77,medium,100.0,high,RU:04yr:artifact:rare:3:+15
04yr,Виток,artefact/biochemical,exclusive,4,0,28222222,older_history,medium,28222222,low_data,history_3h,,,0,7,4,7,8.0,53.46,medium,70.0,medium,RU:04yr:artifact:exclusive:4:+0
04yr,Виток,artefact/biochemical,exclusive,4,11,,unavailable,none,,unavailable,,,,0,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:exclusive:4:+11
04yr,Виток,artefact/biochemical,exclusive,4,15,33499999,recent_7d,highest,33499999,ok,raw_7d,42220000,42221778,5,18,7,18,14.0,48.74,medium,70.0,medium,RU:04yr:artifact:exclusive:4:+15
04yr,Виток,artefact/biochemical,legendary,5,0,140000000,low_data_history,low,140000000,low_data,history_3h,159999999,159999999,1,1,0,1,0.0,65.0,unknown,10.0,low,RU:04yr:artifact:legendary:5:+0
04yr,Виток,artefact/biochemical,legendary,5,15,170000000,active_ask_only,very_low,,unavailable,,170000000,176000000,2,0,0,0,0.0,65.0,unknown,0.0,low,RU:04yr:artifact:legendary:5:+15
1k4q,Сало,artefact/gravity,common,0,0,2900,recent_7d,highest,2900,ok,raw_7d,3300,3500,20,3508,476,3508,100.0,41.79,medium,100.0,high,RU:1k4q:artifact:common:0:+0
1k4q,Сало,artefact/gravity,common,0,7,100000,active_ask_only,very_low,,unavailable,,100000,100000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:common:0:+7
1k4q,Сало,artefact/gravity,common,0,10,100000,low_data_history,low,100000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:common:0:+10
1k4q,Сало,artefact/gravity,common,0,15,149999,older_history,medium,149999,low_data,history_3h,,,0,8,0,8,0.0,65.95,medium,80.0,high,RU:1k4q:artifact:common:0:+15
1k4q,Сало,artefact/gravity,uncommon,1,0,3700,recent_7d,highest,3700,ok,raw_7d,3500,5000,19,886,175,886,100.0,32.5,low,100.0,high,RU:1k4q:artifact:uncommon:1:+0
1k4q,Сало,artefact/gravity,uncommon,1,1,32500,low_data_history,low,32500,low_data,history_3h,,,0,2,0,2,0.0,100.0,high,20.0,low,RU:1k4q:artifact:uncommon:1:+1
1k4q,Сало,artefact/gravity,uncommon,1,4,22000,low_data_history,low,22000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:uncommon:1:+4
1k4q,Сало,artefact/gravity,uncommon,1,5,7999,low_data_history,low,7999,low_data,history_3h,,,0,2,0,2,0.0,66.66,medium,20.0,low,RU:1k4q:artifact:uncommon:1:+5
1k4q,Сало,artefact/gravity,uncommon,1,10,20000,low_data_history,low,20000,low_data,history_3h,,,0,2,0,2,0.0,87.0,high,20.0,low,RU:1k4q:artifact:uncommon:1:+10
1k4q,Сало,artefact/gravity,uncommon,1,15,15000,low_data_history,low,15000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:uncommon:1:+15
1k4q,Сало,artefact/gravity,special,2,0,6000,recent_7d,highest,6000,ok,raw_7d,14000,15200,4,318,97,318,100.0,57.85,medium,100.0,high,RU:1k4q:artifact:special:2:+0
1k4q,Сало,artefact/gravity,special,2,5,50000,low_data_history,low,50000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:special:2:+5
1k4q,Сало,artefact/gravity,special,2,6,50000,low_data_history,low,50000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:special:2:+6
1k4q,Сало,artefact/gravity,special,2,7,99999,active_ask_only,very_low,,unavailable,,99999,99999,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:special:2:+7
1k4q,Сало,artefact/gravity,special,2,10,450000,active_ask_only,very_low,,unavailable,,450000,450000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:special:2:+10
1k4q,Сало,artefact/gravity,special,2,11,260000,older_history,medium,260000,low_data,history_3h,,,0,9,0,9,2.0,100.0,high,90.0,high,RU:1k4q:artifact:special:2:+11
1k4q,Сало,artefact/gravity,special,2,15,666666,low_data_history,low,666666,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:special:2:+15
1k4q,Сало,artefact/gravity,rare,3,0,12500,recent_7d,highest,12500,ok,raw_7d,20000,20000,3,407,93,407,100.0,100.0,high,100.0,high,RU:1k4q:artifact:rare:3:+0
1k4q,Сало,artefact/gravity,rare,3,1,20000,low_data_history,low,20000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+1
1k4q,Сало,artefact/gravity,rare,3,2,30000,low_data_history,low,30000,low_data,history_3h,,,0,2,0,2,0.0,35.0,medium,20.0,low,RU:1k4q:artifact:rare:3:+2
1k4q,Сало,artefact/gravity,rare,3,3,30000,low_data_history,low,30000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+3
1k4q,Сало,artefact/gravity,rare,3,5,47676,low_data_history,low,47676,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+5
1k4q,Сало,artefact/gravity,rare,3,6,120000,low_data_history,low,120000,low_data,history_3h,,,0,2,0,2,0.0,49.86,medium,20.0,low,RU:1k4q:artifact:rare:3:+6
1k4q,Сало,artefact/gravity,rare,3,7,100000,low_data_history,low,100000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+7
1k4q,Сало,artefact/gravity,rare,3,9,200000,low_data_history,low,200000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+9
1k4q,Сало,artefact/gravity,rare,3,10,189999,recent_30d,high,189999,ok,raw_30d,,,0,12,2,12,4.0,100.0,high,100.0,high,RU:1k4q:artifact:rare:3:+10
1k4q,Сало,artefact/gravity,rare,3,11,189999,low_data_history,low,189999,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+11
1k4q,Сало,artefact/gravity,rare,3,12,300000,low_data_history,low,300000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:rare:3:+12
1k4q,Сало,artefact/gravity,rare,3,15,499988,older_history,medium,499988,low_data,history_3h,300000,300000,1,7,0,7,0.0,83.28,high,70.0,medium,RU:1k4q:artifact:rare:3:+15
1k4q,Сало,artefact/gravity,exclusive,4,0,50000,recent_7d,highest,50000,ok,raw_7d,150000,183999,9,508,261,508,100.0,100.0,high,100.0,high,RU:1k4q:artifact:exclusive:4:+0
1k4q,Сало,artefact/gravity,exclusive,4,1,109999,low_data_history,low,109999,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+1
1k4q,Сало,artefact/gravity,exclusive,4,2,125000,low_data_history,low,125000,low_data,history_3h,,,0,2,0,2,0.0,44.45,medium,20.0,low,RU:1k4q:artifact:exclusive:4:+2
1k4q,Сало,artefact/gravity,exclusive,4,3,125000,low_data_history,low,125000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+3
1k4q,Сало,artefact/gravity,exclusive,4,4,100000,low_data_history,low,100000,low_data,history_3h,,,0,2,1,2,2.0,68.97,medium,20.0,low,RU:1k4q:artifact:exclusive:4:+4
1k4q,Сало,artefact/gravity,exclusive,4,5,89999,recent_7d,highest,89999,ok,raw_7d,450000,450000,2,22,5,22,10.0,99.39,high,65.0,medium,RU:1k4q:artifact:exclusive:4:+5
1k4q,Сало,artefact/gravity,exclusive,4,6,200000,older_history,medium,200000,low_data,history_3h,600000,600000,1,7,1,7,2.0,74.86,high,70.0,medium,RU:1k4q:artifact:exclusive:4:+6
1k4q,Сало,artefact/gravity,exclusive,4,7,240000,older_history,medium,240000,low_data,history_3h,,,0,5,1,5,2.0,100.0,high,50.0,medium,RU:1k4q:artifact:exclusive:4:+7
1k4q,Сало,artefact/gravity,exclusive,4,8,100000,low_data_history,low,100000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+8
1k4q,Сало,artefact/gravity,exclusive,4,9,368888,low_data_history,low,368888,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+9
1k4q,Сало,artefact/gravity,exclusive,4,10,600000,older_history,medium,600000,low_data,history_3h,,,0,6,1,6,2.0,100.0,high,60.0,medium,RU:1k4q:artifact:exclusive:4:+10
1k4q,Сало,artefact/gravity,exclusive,4,11,875000,active_ask_only,very_low,,unavailable,,875000,875000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:exclusive:4:+11
1k4q,Сало,artefact/gravity,exclusive,4,12,500000,low_data_history,low,500000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+12
1k4q,Сало,artefact/gravity,exclusive,4,13,300000,low_data_history,low,300000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:exclusive:4:+13
1k4q,Сало,artefact/gravity,exclusive,4,15,888888,older_history,medium,888888,low_data,history_3h,,,0,8,1,8,2.0,71.98,high,80.0,high,RU:1k4q:artifact:exclusive:4:+15
1k4q,Сало,artefact/gravity,legendary,5,0,555555,recent_7d,highest,555555,ok,raw_7d,500000,591777,7,64,13,64,22.0,55.58,medium,100.0,high,RU:1k4q:artifact:legendary:5:+0
1k4q,Сало,artefact/gravity,legendary,5,1,2499999,low_data_history,low,2499999,low_data,history_3h,,,0,2,0,2,0.0,75.44,high,20.0,low,RU:1k4q:artifact:legendary:5:+1
1k4q,Сало,artefact/gravity,legendary,5,2,795000,low_data_history,low,795000,low_data,history_3h,,,0,4,0,4,0.0,78.65,high,40.0,low,RU:1k4q:artifact:legendary:5:+2
1k4q,Сало,artefact/gravity,legendary,5,3,750000,low_data_history,low,750000,low_data,history_3h,,,0,2,0,2,0.0,40.26,medium,20.0,low,RU:1k4q:artifact:legendary:5:+3
1k4q,Сало,artefact/gravity,legendary,5,5,949999,low_data_history,low,949999,low_data,history_3h,1149999,1149999,1,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:legendary:5:+5
1k4q,Сало,artefact/gravity,legendary,5,6,1150000,low_data_history,low,1150000,low_data,history_3h,,,0,2,0,2,0.0,47.68,medium,20.0,low,RU:1k4q:artifact:legendary:5:+6
1k4q,Сало,artefact/gravity,legendary,5,7,1100000,active_ask_only,very_low,,unavailable,,1100000,1100000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:legendary:5:+7
1k4q,Сало,artefact/gravity,legendary,5,8,1100000,low_data_history,low,1100000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k4q:artifact:legendary:5:+8
1k4q,Сало,artefact/gravity,legendary,5,10,900000,low_data_history,low,900000,low_data,history_3h,999999,999999,2,4,3,4,6.0,71.66,high,40.0,low,RU:1k4q:artifact:legendary:5:+10
1k4q,Сало,artefact/gravity,legendary,5,12,750000,low_data_history,low,750000,low_data,history_3h,1100000,1100000,1,2,2,2,4.0,68.27,medium,20.0,low,RU:1k4q:artifact:legendary:5:+12
1k4q,Сало,artefact/gravity,legendary,5,13,4000000,active_ask_only,very_low,,unavailable,,4000000,4000000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k4q:artifact:legendary:5:+13
1k4q,Сало,artefact/gravity,legendary,5,15,1500000,recent_7d,highest,1500000,ok,raw_7d,1650000,1650000,1,10,5,10,10.0,68.29,medium,65.0,medium,RU:1k4q:artifact:legendary:5:+15
1k96,Трещотка,artefact/electrophysical,common,0,0,3000,recent_7d,highest,3000,ok,raw_7d,3000,3500,58,2260,419,2260,100.0,33.33,low,100.0,high,RU:1k96:artifact:common:0:+0
1k96,Трещотка,artefact/electrophysical,common,0,1,10000,low_data_history,low,10000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:common:0:+1
1k96,Трещотка,artefact/electrophysical,common,0,6,20000,low_data_history,low,20000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k96:artifact:common:0:+6
1k96,Трещотка,artefact/electrophysical,common,0,8,11000,low_data_history,low,11000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:common:0:+8
1k96,Трещотка,artefact/electrophysical,common,0,15,10000,low_data_history,low,10000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k96:artifact:common:0:+15
1k96,Трещотка,artefact/electrophysical,uncommon,1,0,4499,recent_7d,highest,4499,ok,raw_7d,5000,5254,37,744,250,744,100.0,34.83,low,100.0,high,RU:1k96:artifact:uncommon:1:+0
1k96,Трещотка,artefact/electrophysical,uncommon,1,6,200000,low_data_history,low,200000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:uncommon:1:+6
1k96,Трещотка,artefact/electrophysical,uncommon,1,8,200000,active_ask_only,very_low,,unavailable,,200000,200000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k96:artifact:uncommon:1:+8
1k96,Трещотка,artefact/electrophysical,uncommon,1,10,600000,active_ask_only,very_low,,unavailable,,600000,600000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k96:artifact:uncommon:1:+10
1k96,Трещотка,artefact/electrophysical,uncommon,1,13,850000,active_ask_only,very_low,,unavailable,,850000,850000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k96:artifact:uncommon:1:+13
1k96,Трещотка,artefact/electrophysical,uncommon,1,15,200000,low_data_history,low,200000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:uncommon:1:+15
1k96,Трещотка,artefact/electrophysical,special,2,0,7000,recent_7d,highest,7000,ok,raw_7d,7000,9600,14,546,211,546,100.0,90.99,high,100.0,high,RU:1k96:artifact:special:2:+0
1k96,Трещотка,artefact/electrophysical,special,2,1,11000,low_data_history,low,11000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+1
1k96,Трещотка,artefact/electrophysical,special,2,2,21000,low_data_history,low,21000,low_data,history_3h,,,0,3,0,3,0.0,69.67,medium,30.0,low,RU:1k96:artifact:special:2:+2
1k96,Трещотка,artefact/electrophysical,special,2,3,12000,low_data_history,low,12000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+3
1k96,Трещотка,artefact/electrophysical,special,2,4,11000,low_data_history,low,11000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+4
1k96,Трещотка,artefact/electrophysical,special,2,5,50000,older_history,medium,50000,low_data,history_3h,,,0,7,0,7,0.0,100.0,high,70.0,medium,RU:1k96:artifact:special:2:+5
1k96,Трещотка,artefact/electrophysical,special,2,6,15000,low_data_history,low,15000,low_data,history_3h,50000,50000,1,2,2,2,4.0,89.6,high,20.0,low,RU:1k96:artifact:special:2:+6
1k96,Трещотка,artefact/electrophysical,special,2,7,30974,low_data_history,low,30974,low_data,history_3h,,,0,2,0,2,0.0,73.53,high,20.0,low,RU:1k96:artifact:special:2:+7
1k96,Трещотка,artefact/electrophysical,special,2,8,160000,low_data_history,low,160000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+8
1k96,Трещотка,artefact/electrophysical,special,2,10,120000,low_data_history,low,120000,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+10
1k96,Трещотка,artefact/electrophysical,special,2,11,225000,active_ask_only,very_low,,unavailable,,225000,225000,1,0,0,0,0.0,65.0,unknown,0.0,low,RU:1k96:artifact:special:2:+11
1k96,Трещотка,artefact/electrophysical,special,2,12,100000,low_data_history,low,100000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+12
1k96,Трещотка,artefact/electrophysical,special,2,13,500000,low_data_history,low,500000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+13
1k96,Трещотка,artefact/electrophysical,special,2,14,189999,low_data_history,low,189999,low_data,history_3h,,,0,1,1,1,2.0,65.0,unknown,10.0,low,RU:1k96:artifact:special:2:+14
1k96,Трещотка,artefact/electrophysical,special,2,15,250000,older_history,medium,250000,low_data,history_3h,,,0,8,2,8,4.0,100.0,high,80.0,high,RU:1k96:artifact:special:2:+15
1k96,Трещотка,artefact/electrophysical,rare,3,0,11500,recent_7d,highest,11500,ok,raw_7d,18000,19400,18,658,259,658,100.0,83.58,high,100.0,high,RU:1k96:artifact:rare:3:+0
1k96,Трещотка,artefact/electrophysical,rare,3,1,29000,low_data_history,low,29000,low_data,history_3h,,,0,4,0,4,0.0,72.64,high,40.0,low,RU:1k96:artifact:rare:3:+1
1k96,Трещотка,artefact/electrophysical,rare,3,2,50000,low_data_history,low,50000,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:rare:3:+2
1k96,Трещотка,artefact/electrophysical,rare,3,3,77777,low_data_history,low,77777,low_data,history_3h,,,0,1,0,1,0.0,65.0,unknown,10.0,low,RU:1k96:artifact:rare:3:+3
