boost_id,name,category,rank,class_label,effect_type,priority,duration_seconds,cooldown_seconds,toxicity_penalty,instant_healing,excluded_from_builds,exclude_reason,bullet_resistance,vitality,movement_speed,sprint_speed,stamina,stamina_regeneration,health_regeneration,periodic_healing,healing_effectiveness,carry_weight,bleeding_output,bleeding_resistance,burn_reaction,tear_reaction,tear_protection,explosion_protection,electricity_protection,fire_protection,chemical_protection,radiation_resistance,psycho_resistance,temperature_resistance,biological_resistance,frost_resistance,bleeding_damage_resistance,radiation_protection,thermal_protection,biological_protection,psycho_protection,frost_protection,stability,radiation,psycho,temperature,biological,frost,toxicity,combustion,chemical_burn_reaction,electroshock_reaction,recoil,wiggle,satiety,effective_durability,total_sprint_speed,hp_regen_score,source_path
5lz3g,Дольки мандарина,supply/food,Новичок,Еда,Кратковременное усиление,3.0,270.0,3.0,,,False,,,2.5,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250.0,100.0,0.0,stalzone-database/ru/items/supply/food/5lz3g.json
p62q6,Морфин,supply/medicine,Ветеран,Медикаменты,Кратковременное усиление,7.0,270.0,5.0,40.0,,False,,21.0,,,,,,,,15.8,,,8.8,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/p62q6.json
5ddo,Мякоть куборбуза,supply/medicine,Мастер,Медикаменты,Кратковременное усиление,8.0,270.0,5.0,,,False,,,,1.85,1.85,35.5,7.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.69999999999999,0.76,stalzone-database/ru/items/supply/medicine/5ddo.json
y770,Мякоть лимонника,supply/medicine,Легенда,Медикаменты,Кратковременное усиление,10.0,270.0,5.0,,,False,,23.3,,,,37.3,,,,17.5,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12330.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/y770.json
1ddr,Мякоть мятноплода,supply/medicine,Новичок,Медикаменты,Кратковременное усиление,2.0,270.0,5.0,,,False,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/1ddr.json
g00n,Мякоть сластены,supply/medicine,Сталкер,Медикаменты,Кратковременное усиление,4.0,270.0,5.0,,,False,,,,1.55,1.55,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.1,0.0,stalzone-database/ru/items/supply/medicine/g00n.json
9mmq,Мякоть солевика,supply/medicine,Отмычка,Медикаменты,Кратковременное усиление,1.0,270.0,5.0,,,False,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/9mmq.json
z77k,Мякоть спиртня,supply/medicine,Ветеран,Медикаменты,Кратковременное усиление,6.0,270.0,5.0,,,False,,,2.9,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290.0,100.0,0.72,stalzone-database/ru/items/supply/medicine/z77k.json
knoz0,Половинка мандарина,supply/food,Новичок,Еда,Кратковременное усиление,4.0,270.0,3.0,,,False,,,2.6,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10260.0,100.0,0.0,stalzone-database/ru/items/supply/food/knoz0.json
rw1pg,Свежий мандарин,supply/food,Сталкер,Еда,Кратковременное усиление,6.0,270.0,3.0,,,False,,,2.9,,,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290.0,100.0,0.0,stalzone-database/ru/items/supply/food/rw1pg.json
vjy3n,Эпинефрин,supply/medicine,Ветеран,Медикаменты,Кратковременное усиление,7.0,270.0,5.0,40.0,,False,,,,1.75,1.75,33.6,7.4,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.5,0.0,stalzone-database/ru/items/supply/medicine/vjy3n.json
1r216,«ТОПОТ»,supply/medicine,Ветеран,Медикаменты,Лечение,20.0,6.0,8.0,,3.6,True,effect_type,,,,,,9.5,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,950.0,stalzone-database/ru/items/supply/medicine/1r216.json
6w59j,«УДАР»,supply/medicine,Сталкер,Медикаменты,Лечение,16.0,6.0,8.0,,3.2,True,effect_type,,,,,,8.5,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,840.0,stalzone-database/ru/items/supply/medicine/6w59j.json
96430,Аптечка индивидуальная,supply/medicine,Отмычка,Медикаменты,Лечение,4.0,12.0,8.0,,,True,effect_type,,,,,,,5.4,3.8,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,10000.0,100.0,381.08,stalzone-database/ru/items/supply/medicine/96430.json
7ly13,Аптечка проводника,supply/medicine,Сталкер,Медикаменты,Лечение,16.0,12.0,8.0,,,True,effect_type,,,,,,,7.4,5.9,,,-1.55,,,,,,,,,,,,,,17.0,,,,,,,,,,,,-0.3,,,,,,,10000.0,100.0,591.48,stalzone-database/ru/items/supply/medicine/7ly13.json
1r2o6,Аптечка ученых,supply/medicine,Сталкер,Медикаменты,Лечение,12.0,12.0,8.0,,,True,effect_type,,,,,,,7.4,5.2,,,-1.25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,10000.0,100.0,521.48,stalzone-database/ru/items/supply/medicine/1r2o6.json
g4lk0,Военная аптечка,supply/medicine,Новичок,Медикаменты,Лечение,8.0,12.0,8.0,,,True,effect_type,,,,,,,6.4,4.5,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,10000.0,100.0,451.28,stalzone-database/ru/items/supply/medicine/g4lk0.json
g4l10,Анаболик «ATLAS»,supply/medicine,Ветеран,Медикаменты,Подвижность,8.0,1800.0,5.0,15.0,,False,,,,0.65,0.65,17.4,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.30000000000001,0.0,stalzone-database/ru/items/supply/medicine/g4l10.json
zzqo2,Анаболик «SALT»,supply/medicine,Мастер,Медикаменты,Подвижность,10.0,1800.0,5.0,15.0,,False,,,,0.85,0.85,10.8,4.3,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.69999999999999,0.0,stalzone-database/ru/items/supply/medicine/zzqo2.json
7lyd3,Анаболик «STARK»,supply/medicine,Мастер,Медикаменты,Подвижность,10.0,1800.0,5.0,15.0,,False,,,,0.7,0.7,19.6,2.4,,,,15.9,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10000.0,101.4,0.0,stalzone-database/ru/items/supply/medicine/7lyd3.json
2o9w0,Грог,supply/drink,Мастер,Напитки,Подвижность,10.0,1800.0,5.0,15.0,,False,,,,1.0,1.0,13.7,3.6,,,,10.3,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10000.0,102.0,0.0,stalzone-database/ru/items/supply/drink/2o9w0.json
zzqn2,Нейротоник,supply/medicine,Ветеран,Медикаменты,Подвижность,7.0,1800.0,5.0,15.0,,False,,,,,,13.9,2.5,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/zzqn2.json
qj9n6,Пломбир,supply/food,Сталкер,Еда,Подвижность,5.0,1800.0,5.0,,,False,,,,0.6,0.6,5.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.19999999999999,0.0,stalzone-database/ru/items/supply/food/qj9n6.json
9m7w,Сгущенка,supply/food,Новичок,Еда,Подвижность,4.0,1800.0,3.0,,,False,,,,0.25,0.25,13.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.5,0.0,stalzone-database/ru/items/supply/food/9m7w.json
1r2yq,Силовой стимулятор,supply/medicine,Мастер,Медикаменты,Подвижность,10.0,1800.0,5.0,20.0,,False,,,,0.85,0.85,13.7,2.4,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.69999999999999,0.0,stalzone-database/ru/items/supply/medicine/1r2yq.json
y3kyz,Стаканчик мороженого,supply/food,Новичок,Еда,Подвижность,3.0,1800.0,5.0,,,False,,,,0.5,0.5,4.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.0,0.0,stalzone-database/ru/items/supply/food/y3kyz.json
rw1mg,Тоник «Арни»,supply/medicine,Сталкер,Медикаменты,Подвижность,5.0,1800.0,5.0,15.0,,False,,,,,,12.0,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/medicine/rw1mg.json
0rdjd,Шоколадный пломбир,supply/food,Сталкер,Еда,Подвижность,6.0,1800.0,5.0,,,False,,,,0.65,0.65,6.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.30000000000001,0.0,stalzone-database/ru/items/supply/food/0rdjd.json
964ow,Энергетик «Батарейка»,supply/medicine,Ветеран,Медикаменты,Подвижность,7.0,1800.0,5.0,15.0,,False,,,,0.85,0.85,11.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.69999999999999,0.0,stalzone-database/ru/items/supply/medicine/964ow.json
lynkj,Энергетик «Жидень EXTRA»,supply/medicine,Сталкер,Медикаменты,Подвижность,5.0,1800.0,5.0,15.0,,False,,,,0.75,0.75,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.5,0.0,stalzone-database/ru/items/supply/medicine/lynkj.json
p62o6,Эскимо,supply/food,Ветеран,Еда,Подвижность,8.0,1800.0,5.0,,,False,,,,0.9,0.9,14.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,101.80000000000001,0.0,stalzone-database/ru/items/supply/food/p62o6.json
7lyo3,«Алкобык»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,5.0,20.0,,False,,,,1.35,1.35,19.8,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,10000.0,102.69999999999999,0.0,stalzone-database/ru/items/supply/drink/7lyo3.json
okdpo,«Веселый лимонад»,supply/drink,Ветеран,Напитки,Усиление,8.0,1800.0,3.0,,,False,,,,1.2,1.2,17.6,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.4,0.0,stalzone-database/ru/items/supply/drink/okdpo.json
2opo6,«Радость туриста»,supply/food,Сталкер,Еда,Усиление,5.0,1800.0,3.0,,,False,,,2.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10240.0,100.0,0.0,stalzone-database/ru/items/supply/food/2opo6.json
n4vg6,«Рассол»,supply/drink,Ветеран,Напитки,Усиление,8.0,1800.0,3.0,,,False,,,,1.2,1.2,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,10000.0,102.4,0.0,stalzone-database/ru/items/supply/drink/n4vg6.json
3g1zz,«Субтропики»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,3.0,,,False,,,,1.35,1.35,23.3,,,,9.6,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.69999999999999,0.0,stalzone-database/ru/items/supply/drink/3g1zz.json
vjy0n,«Шапочка из фольги»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,3.0,,,False,,,,1.35,1.35,,4.3,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,10000.0,102.69999999999999,0.0,stalzone-database/ru/items/supply/drink/vjy0n.json
1rnr1,«Шедевральная красота»,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,2.0,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200.0,100.0,0.42000000000000004,stalzone-database/ru/items/supply/food/1rnr1.json
wj2jo,Американский ИРП,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,2.7,,,13.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10270.0,100.0,0.0,stalzone-database/ru/items/supply/food/wj2jo.json
m0pyj,Аномальное шампанское,supply/drink,Ветеран,Напитки,Усиление,7.0,1800.0,3.0,20.0,,False,,,,1.35,1.35,19.4,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10000.0,102.69999999999999,0.0,stalzone-database/ru/items/supply/drink/m0pyj.json
wj2no,Армейские галеты,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,15.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/wj2no.json
1dwq,Базовое вино,supply/drink,Новичок,Напитки,Усиление,3.0,1800.0,3.0,,,False,,,,1.0,1.0,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.0,0.0,stalzone-database/ru/items/supply/drink/1dwq.json
4qg3p,Бобы «С новым счастьем!»,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,1.9,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190.0,100.0,0.54,stalzone-database/ru/items/supply/food/4qg3p.json
qjmjk,Боевой горох,supply/food,Новичок,Еда,Усиление,3.0,1800.0,3.0,,,False,,,1.7,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170.0,100.0,0.0,stalzone-database/ru/items/supply/food/qjmjk.json
5drg,Брага,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/5drg.json
6w5jj,Брусничная водка,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,5.0,20.0,,False,,,,1.65,1.65,12.8,3.6,,,17.5,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10000.0,103.30000000000001,0.0,stalzone-database/ru/items/supply/drink/6w5jj.json
qjmlk,Бутерброд с икрой,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,2.2,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.0,100.0,0.0,stalzone-database/ru/items/supply/food/qjmlk.json
j54p6,Бутерброд с колбасой,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,,,2.7,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.54,stalzone-database/ru/items/supply/food/j54p6.json
ly6w1,Бутерброд с колбасой,supply/food,Новичок,Еда,Усиление,4.0,1800.0,3.0,,,False,,,,,,,,2.3,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.45999999999999996,stalzone-database/ru/items/supply/food/ly6w1.json
n4l63,Вареный тунец,supply/food,Сталкер,Еда,Усиление,5.0,1800.0,3.0,,,False,,,,,,14.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/n4l63.json
r2mv,Вино с осадком,supply/drink,Сталкер,Напитки,Усиление,5.0,1800.0,3.0,,,False,,,,1.4,1.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.80000000000001,0.48,stalzone-database/ru/items/supply/drink/r2mv.json
3g1qz,Водка,supply/drink,Новичок,Напитки,Усиление,3.0,1800.0,5.0,20.0,,False,,,,1.0,1.0,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.0,0.0,stalzone-database/ru/items/supply/drink/3g1qz.json
g4lzg,Водка «Гейзер»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,5.0,20.0,,False,,,,1.35,1.35,12.8,,3.4,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.69999999999999,0.6799999999999999,stalzone-database/ru/items/supply/drink/g4lzg.json
964z0,Водка «Кривой Коготь»,supply/drink,Ветеран,Напитки,Усиление,8.0,1800.0,5.0,20.0,,False,,,,1.2,1.2,,3.9,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.4,0.0,stalzone-database/ru/items/supply/drink/964z0.json
2o900,Водка «Морозная»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,5.0,20.0,,False,,,,1.35,1.35,,4.3,4.0,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,102.69999999999999,0.8,stalzone-database/ru/items/supply/drink/2o900.json
dmk95,Горох «Прошлогодний»,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,2.3,,,13.6,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230.0,100.0,0.6599999999999999,stalzone-database/ru/items/supply/food/dmk95.json
y39yz,Гороховый суп,supply/food,Мастер,Еда,Усиление,10.0,1800.0,3.0,,,False,,,2.3,,,12.8,,3.4,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230.0,100.0,0.6799999999999999,stalzone-database/ru/items/supply/food/y39yz.json
wjwzp,Детское шампанское,supply/drink,Отмычка,Напитки,Усиление,2.0,1800.0,3.0,20.0,,False,,,,1.0,1.0,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10000.0,102.0,0.48,stalzone-database/ru/items/supply/drink/wjwzp.json
7rm3,Жареное мясо кабана,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.4,stalzone-database/ru/items/supply/food/7rm3.json
3r6z,Жареное мясо хрюши,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/3r6z.json
2dq0,Жареное мясо шавки,supply/food,Отмычка,Еда,Усиление,1.0,1800.0,3.0,,,False,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/2dq0.json
3g12z,Жаркое из мутантов,supply/food,Ветеран,Еда,Усиление,7.0,1800.0,3.0,,,False,,,1.9,,,19.4,,,,12.4,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10190.0,100.0,0.0,stalzone-database/ru/items/supply/food/3g12z.json
ly6y1,Завтрак чемпиона,supply/food,Мастер,Еда,Усиление,10.0,2100.0,3.0,,,False,,,3.3,,,9.3,2.8,2.8,,14.9,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10330.0,100.0,0.5599999999999999,stalzone-database/ru/items/supply/food/ly6y1.json
2opg0,Заливное,supply/food,Мастер,Еда,Усиление,9.0,1800.0,3.0,,,False,,,2.2,,,,,3.2,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10220.0,100.0,0.64,stalzone-database/ru/items/supply/food/2opg0.json
j5mg7,Игристое шампанское,supply/drink,Новичок,Напитки,Усиление,4.0,1800.0,3.0,20.0,,False,,,,1.2,1.2,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10000.0,102.4,0.0,stalzone-database/ru/items/supply/drink/j5mg7.json
g4lp0,Измененный сидр,supply/drink,Ветеран,Напитки,Усиление,8.0,1800.0,5.0,20.0,,False,,,,1.7,1.7,14.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.4,0.0,stalzone-database/ru/items/supply/drink/g4lp0.json
p6056,Каша гороховая с мясом,supply/food,Мастер,Еда,Усиление,9.0,1800.0,3.0,,,False,,,,,,18.7,3.4,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,100.0,0.0,stalzone-database/ru/items/supply/food/p6056.json
zzqn9,Коктейль «Незабываемый»,supply/drink,Мастер,Напитки,Усиление,10.0,1800.0,5.0,20.0,,False,,,,1.95,1.95,12.8,4.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,103.9,0.5599999999999999,stalzone-database/ru/items/supply/drink/zzqn9.json
